common_name,scientific_name,start_time,end_time,confidence,label
Black-capped Chickadee,Poecile atricapillus,0.0,3.0,0.8140554428100586,Poecile atricapillus_Black-capped Chickadee
Black-capped Chickadee,Poecile atricapillus,3.0,6.0,0.3082858622074127,Poecile atricapillus_Black-capped Chickadee
House Finch,Haemorhous mexicanus,9.0,12.0,0.6393780708312988,Haemorhous mexicanus_House Finch
Blue Jay,Cyanocitta cristata,18.0,21.0,0.43527090549468994,Cyanocitta cristata_Blue Jay
Chestnut-winged Cuckoo,Clamator coromandus,18.0,21.0,0.32258784770965576,Clamator coromandus_Chestnut-winged Cuckoo
Blue Jay,Cyanocitta cristata,21.0,24.0,0.3290855586528778,Cyanocitta cristata_Blue Jay
Merlin,Falco columbarius,27.0,30.0,0.26565277576446533,Falco columbarius_Merlin
Dark-eyed Junco,Junco hyemalis,33.0,36.0,0.45906320214271545,Junco hyemalis_Dark-eyed Junco
Dark-eyed Junco,Junco hyemalis,36.0,39.0,0.3536849021911621,Junco hyemalis_Dark-eyed Junco
House Finch,Haemorhous mexicanus,39.0,42.0,0.2532505393028259,Haemorhous mexicanus_House Finch
Dark-eyed Junco,Junco hyemalis,42.0,45.0,0.7375434041023254,Junco hyemalis_Dark-eyed Junco
House Finch,Haemorhous mexicanus,51.0,54.0,0.2564050555229187,Haemorhous mexicanus_House Finch
House Finch,Haemorhous mexicanus,54.0,57.0,0.607065737247467,Haemorhous mexicanus_House Finch
Dark-eyed Junco,Junco hyemalis,60.0,63.0,0.554988443851471,Junco hyemalis_Dark-eyed Junco
House Finch,Haemorhous mexicanus,69.0,72.0,0.29147282242774963,Haemorhous mexicanus_House Finch
House Finch,Haemorhous mexicanus,72.0,75.0,0.5638453364372253,Haemorhous mexicanus_House Finch
House Finch,Haemorhous mexicanus,78.0,81.0,0.25606900453567505,Haemorhous mexicanus_House Finch
Hawfinch,Coccothraustes coccothraustes,81.0,84.0,0.28036290407180786,Coccothraustes coccothraustes_Hawfinch
House Finch,Haemorhous mexicanus,84.0,87.0,0.28010085225105286,Haemorhous mexicanus_House Finch
American Goldfinch,Spinus tristis,90.0,93.0,0.41903600096702576,Spinus tristis_American Goldfinch
House Finch,Haemorhous mexicanus,93.0,96.0,0.3168351352214813,Haemorhous mexicanus_House Finch
American Goldfinch,Spinus tristis,96.0,99.0,0.4765159785747528,Spinus tristis_American Goldfinch
House Finch,Haemorhous mexicanus,102.0,105.0,0.44589266180992126,Haemorhous mexicanus_House Finch
Engine,Engine,111.0,114.0,0.5168411731719971,Engine_Engine
American Goldfinch,Spinus tristis,117.0,120.0,0.3923955261707306,Spinus tristis_American Goldfinch
